Company Name,Mes,Variable,Value
Unknown Company,04-2025,Ingresos Brutos,0
Viñas En Flor S. R. L.,04-2025,Ingresos Brutos,5160165
Winehaus S.A.,04-2025,Ingresos Brutos,0
BA Comex S.A.,04-2025,Cargas Sociales,1286711
De la Arena Coll Manuel,04-2025,Cargas Sociales,0
Deposito Avellaneda Sur S.A.,04-2025,Cargas Sociales,22044506
Edelweiss Spedition Srl,04-2025,Cargas Sociales,0
El Llamito S.A.,04-2025,Cargas Sociales,0
El Marques S.A.,04-2025,Cargas Sociales,0
Jofa S.A.,04-2025,Cargas Sociales,10260855
L A R M Argentina Sociedad Anonima,04-2025,Cargas Sociales,4341021
Liftvan International Company S A C,04-2025,Cargas Sociales,28419590
Mercovan Argentina S.A.,04-2025,Cargas Sociales,20130190
Nerococina S.A.,04-2025,Cargas Sociales,315345
U-Bros S.A.,04-2025,Cargas Sociales,1021311
Ulog S.A.,04-2025,Cargas Sociales,197088
Unapa S.A.,04-2025,Cargas Sociales,384390
Unknown Company,04-2025,Cargas Sociales,0
Viñas En Flor S. R. L.,04-2025,Cargas Sociales,8779802
Winehaus S.A.,04-2025,Cargas Sociales,40544
BA Comex S.A.,04-2025,Deuda Total,2391050
De la Arena Coll Manuel,04-2025,Deuda Total,2391050
Deposito Avellaneda Sur S.A.,04-2025,Deuda Total,0
Edelweiss Spedition Srl,04-2025,Deuda Total,576009
El Llamito S.A.,04-2025,Deuda Total,11761715
El Marques S.A.,04-2025,Deuda Total,0
Jofa S.A.,04-2025,Deuda Total,32527536
L A R M Argentina Sociedad Anonima,04-2025,Deuda Total,1848
Liftvan International Company S A C,04-2025,Deuda Total,0
Mercovan Argentina S.A.,04-2025,Deuda Total,0
Nerococina S.A.,04-2025,Deuda Total,0
U-Bros S.A.,04-2025,Deuda Total,0
Ulog S.A.,04-2025,Deuda Total,698152
Unapa S.A.,04-2025,Deuda Total,0
Unknown Company,04-2025,Deuda Total,0
Viñas En Flor S. R. L.,04-2025,Deuda Total,15845848
Winehaus S.A.,04-2025,Deuda Total,2551949
